C1:1
C10:1
C11:1
C12:1
C13:1
C14:1
C15:1
C16:1
C17:1
C2:1
C3:1
C4:1
C5:1
C6:1
C7:1
C8:1
C9:1
CH1:1
CH10:1
CH11:1
CH12:1
CH13:1
CH14:1
CH15:1
CH16:1
CH17:1
CH18:1
CH19:1
CH2:1
CH20:1
CH21:1
CH3:1
CH4:1
CH5:1
CH6:1
CH7:1
CH8:1
CH9:1
D1:1
D2:1
D3:1
F1:1
H1:1
H2:1
J1:1
J2:1
R1:1
R10:1
R11:1
R2:1
R3:1
R4:1
R5:1
R6:1
R7:1
R8:1
R9:1
SW1:1
U1:1
U2:1
U3:1
U4:1
Y1:1
